Name,Position,Price,Quality,Service,Space,ZAvg_Score
Ngọc Thạch Handmade - Trà Sữa & Rau Câu,8.3,8.7,8.6,8.4,8.0,8.4
Quán Thanh Xuân - Cơm Văn Phòng,8.5,9.0,9.0,8.7,8.0,8.6
Bò Tơ Tây Ninh Tài Sanh - KĐT Văn Quán,9.0,7.5,7.5,7.0,9.0,8.0
Tiệm Ăn Đông Lào,7.7,9.3,9.7,9.3,9.3,9.1
Bếp Kemkem - Nước Ép & Đồ Ăn Vặt,7.0,7.0,7.0,7.0,7.0,7.0
Bánh Tráng Trộn Chú Viên - Shop Online - Quốc Tử Giám,6.7,6.5,7.3,7.4,6.2,6.8
Bánh Mì Tứ Hải - Dương Văn Bé,8.4,8.6,8.7,8.4,7.9,8.4
Xuân Gà - Các Món Từ Gà,7.0,6.8,8.2,6.0,7.0,7.0
Bánh Mì An's Bread - Lĩnh Nam,8.4,9.0,9.0,8.6,8.0,8.6
Cô Lê - Nem Nướng Nha Trang - Khương Thượng,6.9,6.3,6.0,6.6,6.0,6.4
Starbucks Coffee - The Garden,7.9,7.0,8.1,8.2,8.3,7.9
Lộc Quán - Coffee & Fast Food,10.0,10.0,10.0,10.0,10.0,10.0
Sushi Kuan - Vạn Phúc,7.8,6.0,8.8,9.0,7.0,7.7
Hoàng Đức - Thịt Xiên Nướng,6.3,6.7,6.9,6.8,5.9,6.5
Hải Sư - Cơm Niêu Singapore,7.4,6.7,7.8,7.0,6.0,7.0
Lẩu Hồng Kông TPN,9.8,10.0,10.0,10.0,10.0,10.0
Cô Lê - Nem Nướng Nha Trang - Xuân Thủy,7.2,7.5,7.2,7.6,7.2,7.3
La Tropica - Eatery & Pizza Bar,9.0,7.5,9.0,9.0,9.0,8.7
Cô Ngà - Bánh Mì Nem Khoai,8.0,8.2,8.0,8.3,7.8,8.0
Bánh Mì Dân Tổ - Thanh Xuân,4.0,5.0,5.0,4.5,4.0,4.5
Trịnh - Bún Bò Huế,8.2,8.3,8.5,8.4,8.0,8.3
Cơm Chay Dì Hiền,4.0,2.0,1.0,5.0,5.0,3.4
Đặc Sản An Giang - Kem & Chè,8.0,9.0,9.0,9.0,9.0,8.8
Trà Sữa Tocotoco - Tam Khương,6.7,7.0,6.0,6.7,6.7,6.6
Deli’he - Clean & Healthy Food - Shop Online,9.3,9.1,9.3,8.8,8.8,9.1
Bếp Hải Âu - Đồ Ăn Nhanh,7.0,8.0,7.0,8.5,8.5,7.8
Thủy Tâm - Bún Ngon Các Loại,10.0,10.0,10.0,10.0,10.0,10.0
Salad - Fresh Salad - Shop Online,8.2,8.9,9.0,8.8,8.0,8.6
Júce - Nước Ép Nguyên Chất,9.2,9.3,9.2,9.0,8.9,9.1
"Papa Chicken - Gà Rán, Cơm Gà & Cơm Văn Phòng - Hồ Tùng Mậu",8.7,9.0,9.0,8.3,8.0,8.6
"Yến Tuấn - Xôi Nóng, Bánh Mì & Cháo Trai",10.0,10.0,10.0,10.0,5.0,9.0
Ăn Vặt Cô Thúy - Bún Bò Nam Bộ,7.2,8.0,7.2,7.6,7.2,7.4
Quán Ăn Ngon 3 Miền,6.3,4.7,4.8,4.4,6.5,5.3
Ăn Bao Ngon - Bánh Mì Sốt Vang Online,6.0,6.6,6.1,7.1,6.5,6.5
Lê Hằng - Bún Chả & Bún Nem,7.5,7.8,8.3,7.8,7.3,7.7
Lê Hằng - Bún Chả & Bún Nem,7.5,7.8,8.3,7.8,7.3,7.7
Con Ong Vàng - Chuối Chiên Sài Gòn & Xôi Dừa,6.2,7.2,7.1,6.3,6.2,6.6
Nhà Hàng Highway4 - Kim Mã,9.5,10.0,10.0,9.5,9.8,9.8
Cháo Sườn Sụn 88 - Cháo Gia Truyền - Shop Online,9.7,9.4,8.9,8.8,9.0,9.2
Cốm Nàng Tấm - Cốm & Xíu Páo Fuping Online,6.7,9.0,9.0,8.7,6.0,7.9
Bếp Chất - Cơm Văn Phòng,8.4,9.0,9.1,9.0,8.5,8.8
Sông Hương - Bún Bò Huế,4.5,5.0,5.0,5.0,6.5,5.2
Thamy - Nguyên Liệu Bánh Gạo Hàn Quốc - Shop Online,10.0,10.0,10.0,10.0,5.0,9.0
Phát Ký Mì Gia,7.4,6.6,7.4,7.4,7.2,7.2
Bánh Mì 59 & Nem Nướng Nha Trang - Chùa Láng,9.8,9.8,9.4,9.4,9.4,9.6
Olive Studio - Baking Studio Online,7.2,6.6,7.9,7.9,7.2,7.3
Tiệm Mì Indo - Tạ Quang Bửu,6.3,7.3,5.3,6.0,4.3,5.9
McDonald's - Hoàng Đạo Thúy,6.6,5.5,5.4,5.7,6.4,5.9
Lani Flowers & Tea house,7.0,8.0,7.0,8.0,9.0,7.8
Thạch Quán 83 - Đồ Ăn Vặt,7.6,9.3,8.8,8.8,6.5,8.2
Hùng Lẩu - Bún Chả & Nem,7.5,6.7,7.5,6.7,6.5,7.0
Cơm 3 Miền - Cơm Văn Phòng - Nguyễn Trãi,7.3,8.0,8.0,8.0,6.3,7.5
Nộm 76 - Nộm & Các Món Ăn Vặt,8.0,9.0,8.0,8.0,7.0,8.0
Tomorrow Cafe - Ngụy Như Kon Tum,9.1,9.1,9.2,8.8,8.6,8.9
Tít Nướng - Minh Khai,6.9,7.4,7.1,6.6,6.1,6.8
Lẩu Nấm Ashima - Huỳnh Thúc Kháng,9.1,9.1,9.1,9.2,9.2,9.1
Phi Trường - Phở Bò Gia Truyền,7.7,6.3,6.3,6.3,5.3,6.4
Phùng Gia - Mì Vằn Thắn,7.3,7.4,7.5,7.4,7.0,7.3
Cơm Gà Bento - Đại Học Hà Nội,1.0,1.0,1.0,1.0,1.0,1.0
